_id,Submit_ID,Brand_Reg,Model_No,Family Name,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,Labelled energy consumption (kWh/year),SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL,Star Rating Index,Star Image Large,Star Image Small,Power supply,Tuner Type,What test standard was used,Registration Number,Regulatory Standard
1,136372,HISENSE,65A7G,,"Australia,New Zealand",China,163.896,11478.122496000002,LCD (LED),0.296,0.0,0.0,107.54,N/A,N/A,458.0,Approved,2026-04-12,,Single product class,Available,5.0,http://global.hisense.com/,http://www.hisense.com.au,5.07670145267907,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4442,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2,136391,HISENSE,50A7G,,"Australia,New Zealand",China,125.731,6754.867344,LCD (LED),0.304,0.0,0.0,61.76,N/A,N/A,254.0,Approved,2026-04-12,,Single product class,Available,5.5,http://global.hisense.com/,http://www.hisense.com.au,5.519365722220251,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4440,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
3,136407,HISENSE,55A7G,,"Australia,New Zealand",China,138.783,8230.118400000001,LCD (LED),0.296,0.0,0.0,75.31,N/A,N/A,304.0,Approved,2026-04-12,,Single product class,Available,5.5,http://global.hisense.com/,http://www.hisense.com.au,5.52322847238293,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4441,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
4,136650,HISENSE,32A4G,,"Australia,New Zealand",China,80.04,2736.7587940000003,LCD (LED),0.35,0.0,0.0,25.93,N/A,N/A,104.0,Approved,2026-04-12,,Single product class,Available,6.0,http://global.hisense.com/,http://www.hisense.com.au,6.051110422730285,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4443,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
5,136653,HISENSE,55U7G,,"Australia,New Zealand",China,138.548,8211.7476,LCD (LED),0.45,0.0,0.0,96.71,N/A,N/A,380.0,Approved,2026-04-26,,Single product class,Available,4.5,http://global.hisense.com/,http://www.hisense.com.au,4.514000251781598,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4455,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
6,136722,HISENSE,75A7G,,"Australia,New Zealand",China,189.274,15307.855004000001,LCD (LED),0.304,0.0,0.0,125.66,N/A,N/A,528.0,Approved,2026-04-26,,Single product class,Available,5.5,http://global.hisense.com/,http://www.hisense.com.au,5.664686296385817,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4453,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
7,136860,EKO,K70USW,,Australia,China,176.566,13118.7698,LCD (LED),0.32,0.4,4.0,139.54,N/A,N/A,572.0,Approved,2026-04-15,,Single product class,Unavailable,4.5,http://www.ayonz.com/,,4.646994909492895,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV4445,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
8,136903,SAMSUNG ELECTRONICS,QA65QN700AW,QA65QN700A,"Australia,Fiji,New Zealand",Vietnam,163.829,11466.84,LCD (LED),0.5,0.0,0.0,220.0,N/A,N/A,806.0,Approved,2026-03-29,,Single product class,Available,2.5,,http://www.samsung.com.au,2.5395839059836804,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,Internal,Digital,,ATV4431,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
9,136903,SAMSUNG ELECTRONICS,QA65QN700AS,QA65QN700A,"Australia,Fiji,New Zealand",Vietnam,163.829,11466.84,LCD (LED),0.5,0.0,0.0,220.0,N/A,N/A,806.0,Approved,2026-03-29,,Single product class,Available,2.5,,http://www.samsung.com.au,2.5395839059836804,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,Internal,Digital,,ATV4431,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
10,136903,SAMSUNG ELECTRONICS,QA65QN700A,QA65QN700A,"Australia,Fiji,New Zealand",Vietnam,163.829,11466.84,LCD (LED),0.5,0.0,0.0,220.0,N/A,N/A,806.0,Approved,2026-03-29,,Single product class,Available,2.5,,http://www.samsung.com.au,2.5395839059836804,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,Internal,Digital,,ATV4431,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
