Model,Technology,Star Rating,Annual Energy (kWh),Cost ($/Year)
Hisense 65A7G,LCD (LED),5.0 Stars,458.0,$137.4
Hisense 50A7G,LCD (LED),5.5 Stars,254.0,$76.2
Hisense 55A7G,LCD (LED),5.5 Stars,304.0,$91.2
Hisense 32A4G,LCD (LED),6.0 Stars,104.0,$31.2
Hisense 55U7G,LCD (LED),4.5 Stars,380.0,$114.0
Hisense 75A7G,LCD (LED),5.5 Stars,528.0,$158.4
Samsung QA65QN700AW,LCD (LED),2.5 Stars,806.0,$241.8
Samsung QA65QN700AS,LCD (LED),2.5 Stars,806.0,$241.8
Samsung QA65QN700A,LCD (LED),2.5 Stars,806.0,$241.8
Samsung QA75QN700AW,LCD (LED),3.0 Stars,886.0,$265.8
Samsung QA75QN700AS,LCD (LED),3.0 Stars,886.0,$265.8
Samsung QA75QN700A,LCD (LED),3.0 Stars,886.0,$265.8
Hisense 75U7G,LCD (LED),4.5 Stars,684.0,$205.2
Philips 55HFL2899T/79,LCD (LED),6.0 Stars,238.0,$71.4
Philips 65HFL2899T/79,LCD (LED),7.0 Stars,295.0,$88.5
Hisense 55U8G,LCD (LED),3.5 Stars,468.0,$140.4
Linsar LS70UHDNF,LCD (LED),6.0 Stars,429.0,$128.7
Hisense 65U8G,LCD,3.5 Stars,638.0,$191.4
Furrion FDFD24A0D,LCD,5.0 Stars,85.0,$25.5
Hisense 75U90G,LCD (LED),2.0 Stars,1190.0,$357.0
